,source,target,value
0,France,Russia,12
1,Germany,Russia,26
2,Austria,Germany,16
3,Austria,Hungary,6
4,Bulgaria,Hungary,6
5,Bulgaria,Russia,5
6,Germany,Ukraine,10
7,Germany,Italy,26
8,France,Poland,14
9,France,Germany,24
10,Germany,Poland,24
11,Estonia,Germany,5
12,Estonia,Latvia,12
13,Latvia,Lithuania,6
14,Finland,Lithuania,11
15,Finland,Germany,5
16,Netherlands,Poland,5
17,Luxembourg,Netherlands,6
18,Belgium,Luxembourg,4
19,Belgium,Denmark,5
20,Denmark,Norway,12
21,Denmark,Sweden,5
22,Germany,Sweden,6
23,France,Italy,5
24,Greece,Italy,5
25,Germany,Greece,3
26,Albania,Greece,12
27,Belarus,Ukraine,6
28,Belarus,Libya,2
29,Egypt,Libya,15
30,Egypt,Iraq,5
31,Germany,Japan,17
32,Japan,Russia,13
33,Algeria,Morocco,6
34,Algeria,Italy,5
35,Italy,Japan,5
36,Japan,Thailand,6
37,Singapore,Thailand,6
38,Philippines,Singapore,6
39,Japan,Philippines,9
40,Australia,Philippines,6
41,Australia,Japan,5
42,Japan,Solomon Islands,8
43,India,Japan,11
44,France,India,6
45,India,Pakistan,12
46,Israel,Pakistan,6
47,Israel,South Africa,11
48,Israel,Libya,5
49,Iran,Libya,6
50,Germany,Iran,1
51,France,Japan,3
52,India,Papua New Guinea,2
53,Pakistan,Philippines,5
54,Laos,Philippines,5
55,Cambodia,Laos,6
56,Cambodia,Vietnam,9
57,Kenya,Vietnam,5
58,Ghana,Kenya,6
59,Ghana,Seychelles,5
60,France,Seychelles,5
61,Estonia,Lithuania,6
62,Finland,Romania,6
63,Albania,Romania,5
64,Albania,Bulgaria,6
65,Bulgaria,Poland,6
66,Poland,Romania,6
67,Hungary,Romania,6
68,Hungary,Mongolia,4
69,Cuba,Mongolia,6
70,Cuba,Vietnam,10
71,United States,Vietnam,2
72,Canada,United States,2
73,Australia,Canada,6
74,Australia,Vietnam,3
75,Cuba,United States,2
76,Canada,Japan,6
77,Canada,Lithuania,1
78,Lithuania,Russia,5
